ILLIQ,PE,PB,PS,CirculatedMarketValue,ChangeRatio,Liquidility
0.006745,16.079501,3.868867,1.530919,37674950967.3,0.01618,8.7e-05
0.008178,16.700031,4.018173,1.59,39128880575.3,0.03859,8.6e-05
0.004197,16.552655,3.982713,1.575968,38783572293.4,-0.00882,8e-05
0.002343,16.606952,3.995777,1.581137,38910791134.1,0.00328,7.4e-05
0.000224,16.599195,3.99391,1.580399,38892617014,-0.00047,6.7e-05
0.00368,16.723301,4.023771,1.592215,39183402935.6,0.00748,6.4e-05
0.012809,16.26566,3.913659,1.548643,38111129849.7,-0.02737,6.9e-05
0.007943,16.095014,3.8726,1.532396,37711299207.5,-0.01049,7e-05
0.002462,16.133797,3.881932,1.536089,37802169808,0.00241,6.7e-05
0.018419,16.506116,3.971515,1.571537,38674527572.8,0.02308,7.5e-05
0.0187,16.211364,3.900595,1.543474,37983911009,-0.01786,8.2e-05
0.010753,16.009691,3.852071,1.524273,37511383886.4,-0.01244,8.3e-05
0.001342,15.986421,3.846472,1.522057,37456861526.1,-0.00145,7.9e-05
0.005954,16.063987,3.865135,1.529442,37638602727.1,0.00485,7.8e-05
0.009724,16.24239,3.90806,1.546428,38056607489.4,0.01111,7.9e-05
0.012893,16.637978,4.003242,1.584092,38983487614.5,0.02436,8.2e-05
0.003448,16.568169,3.986445,1.577445,38819920533.6,-0.0042,3.5e-05
0.006189,16.676762,4.012574,1.587784,39074358215,0.00655,4.8e-05
0.007464,17.056837,4.104023,1.623971,39964890099.9,0.02279,5.7e-05
0.006736,17.204213,4.139483,1.638002,40310198381.8,0.00864,6e-05
0.002488,17.297292,4.161879,1.646864,40528287823,0.00541,5.3e-05
0.011264,16.987027,4.087226,1.617324,39801323019,-0.01794,6.3e-05
0.009113,16.707788,4.020039,1.590738,39147054695.4,-0.01644,6.7e-05
0.00361,16.816381,4.046167,1.601077,39401492376.8,0.0065,6.3e-05
0.005635,16.971514,4.083493,1.615847,39764974778.8,0.00923,6.2e-05
0.010505,16.661248,4.008841,1.586307,39038009974.8,-0.01828,6.6e-05
0.012144,17.02581,4.096558,1.621017,39892193619.5,0.02188,7.1e-05
0.004915,16.924974,4.072296,1.611416,39655930058.2,-0.00592,7e-05
0.011044,16.669005,4.010707,1.587046,39056184094.9,-0.01512,7.3e-05
0.000477,16.676762,4.012574,1.587784,39074358215,0.00047,6.8e-05
0.009093,16.498359,3.969648,1.570798,38656353452.7,-0.0107,6.9e-05
0.008092,16.17258,3.891263,1.539781,37893040408.5,-0.01975,7e-05
0.010475,16.467332,3.962183,1.567844,38583656972.3,0.01823,7.2e-05
0.005911,16.188094,3.894996,1.541258,37929388648.7,-0.01696,7.1e-05
0.003687,15.963151,3.840873,1.519842,37402339165.8,-0.0139,7e-05
0.006152,16.19585,3.896862,1.541997,37948356208.8,0.01458,6.9e-05
0.005784,16.405279,3.947253,1.561936,38439067711.5,0.01293,5.8e-05
0.004675,16.560412,3.984579,1.576706,38802557713.5,0.00946,5.2e-05
0.004508,16.420793,3.950985,1.563413,38475416711.7,-0.00843,5e-05
0.011293,16.909461,4.068563,1.609939,39620410218,0.02976,6.6e-05
